id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
129|Budapest XII. kerület, Ibolya ösvény|60 M Ft|1 200 000 Ft / m2|50 m2|185 m2||18|https://ingatlan.com/34451100
130|Budapest XII. kerület, Magasúti lejtő|249 M Ft|1 383 333 Ft / m2|180 m2|505 m2||22|https://ingatlan.com/34916875
131|Budapest XII. kerület, Istenhegy|990 M Ft|1 800 000 Ft / m2|550 m2|550 m2||1|https://ingatlan.com/34189673
132|Budapest XII. kerület, Karthauzi utca|599 M Ft|2 030 508 Ft / m2|295 m2|295 m2||23|https://ingatlan.com/34565474
133|Budapest XII. kerület, Moha utca|800 M Ft|1 181 683 Ft / m2|677 m2|677 m2||25|https://ingatlan.com/34590988
134|Budapest XII. kerület, Perem ösvény 7.|50 M Ft|1 250 000 Ft / m2|40 m2|315 m2||17|https://ingatlan.com/34889503
135|Budapest XII. kerület, Zugliget|799 M Ft|1 507 547 Ft / m2|530 m2|530 m2||30|https://ingatlan.com/33925829
136|Budapest XII. kerület, Istenhegy|2,27 Mrd Ft|2 066 353 Ft / m2|1100 m2|1100 m2||1|https://ingatlan.com/31707715
137|Budapest XII. kerület, Kútvölgyi út|829 M Ft|1 381 666 Ft / m2|600 m2|600 m2||23|https://ingatlan.com/34479953
138|Budapest XII. kerület, Csillebérc|800 M Ft|1 199 400 Ft / m2|667 m2|667 m2||30|https://ingatlan.com/32809410
139|Budapest XII. kerület, Németvölgyi út 93.|690 M Ft|1 916 666 Ft / m2|360 m2|360 m2||30|https://ingatlan.com/33786115
140|Budapest XII. kerület, Tóth Lőrinc utca|1,20 Mrd Ft|2 181 636 Ft / m2|550 m2|550 m2||30|https://ingatlan.com/34498485
141|Budapest XII. kerület, Szarvas Gábor út 26.|440 M Ft|1 466 666 Ft / m2|300 m2|300 m2||30|https://ingatlan.com/34614756
142|Budapest XII. kerület, Felhő utca|3 Mrd Ft|5 000 000 Ft / m2|600 m2|600 m2||1|https://ingatlan.com/31657306
143|Budapest XII. kerület, Svábhegy|1 Mrd Ft|1 666 666 Ft / m2|600 m2|600 m2|3 + 3 fél|0|https://ingatlan.com/34083085
144|Budapest XII. kerület, Diana utca|540 M Ft|1 500 000 Ft / m2|360 m2|360 m2||30|https://ingatlan.com/34682919
145|Budapest XII. kerület, János Zsigmond utca 34.|669 M Ft|1 697 969 Ft / m2|394 m2|394 m2||30|https://ingatlan.com/34638100
146|Budapest XII. kerület, Orbánhegy|399 M Ft|1 140 000 Ft / m2|350 m2|350 m2||21|https://ingatlan.com/34497526
147|Budapest XII. kerület, Bürök utca|165 M Ft|1 500 000 Ft / m2|110 m2|650 m2||15|https://ingatlan.com/34253283
148|Budapest XII. kerület, Csillebérc|877,29 M Ft|1 146 789 Ft / m2|765 m2|765 m2||12|https://ingatlan.com/33555587
149|Budapest XII. kerület, Farkasrét|335 M Ft|823 095 Ft / m2|407 m2|407 m2||11|https://ingatlan.com/30529465
